2023-05-28T18:44:13.208340600 - Human at: x = 360.0, y = 50.0, rot = 270.0°
2023-05-28T18:44:13.511703600 - Human at: x = 350.0, y = 50.0, rot = 270.0°
2023-05-28T18:44:13.832592400 - Human at: x = 340.0, y = 50.0, rot = 270.0°
2023-05-28T18:44:14.220821200 - Human at: x = 330.0, y = 50.0, rot = 270.0°
2023-05-28T18:44:14.547781200 - Human at: x = 320.0, y = 50.0, rot = 270.0°
2023-05-28T18:44:14.899189800 - Human at: x = 310.0, y = 50.0, rot = 270.0°
2023-05-28T18:44:15.238554700 - Human at: x = 310.0, y = 40.0, rot = 270.0°
2023-05-28T18:44:15.734557 - Human at: x = 310.0, y = 30.0, rot = 0.0°
2023-05-28T18:44:16.001800300 - Human at: x = 310.0, y = 20.0, rot = 0.0°
2023-05-28T18:44:16.431813400 - Human at: x = 310.0, y = 10.0, rot = 0.0°
2023-05-28T18:44:16.716255300 - Human at: x = 320.0, y = 10.0, rot = 0.0°
2023-05-28T18:44:16.983074600 - Human at: x = 330.0, y = 10.0, rot = 90.0°
2023-05-28T18:44:17.249228500 - Human at: x = 340.0, y = 10.0, rot = 90.0°
2023-05-28T18:44:17.534234900 - Human at: x = 350.0, y = 10.0, rot = 90.0°
2023-05-28T18:47:14.491491300 - Enemy at: x = 320.0, y = 80.0, rot = 0.0°
2023-05-28T18:47:14.492482800 - Human at: x = 500.0, y = 100.0, rot = 0.0°
2023-05-28T18:47:16.436686800 - Human at: x = 500.0, y = 110.0, rot = 0.0°
2023-05-28T18:47:16.733650400 - Human at: x = 500.0, y = 100.0, rot = 180.0°
2023-05-28T18:47:16.975567700 - Human at: x = 500.0, y = 90.0, rot = 0.0°
2023-05-28T18:47:17.187719800 - Human at: x = 500.0, y = 80.0, rot = 0.0°
2023-05-28T18:47:17.393703200 - Human at: x = 500.0, y = 70.0, rot = 0.0°
2023-05-28T18:47:17.594054900 - Human at: x = 500.0, y = 60.0, rot = 0.0°
2023-05-28T18:47:17.781832700 - Human at: x = 500.0, y = 50.0, rot = 0.0°
2023-05-28T18:47:38.558908800 - Enemy at: x = 320.0, y = 80.0, rot = 0.0°
2023-05-28T18:47:38.559906700 - Human at: x = 500.0, y = 100.0, rot = 0.0°
2023-05-28T18:47:40.613766300 - Human at: x = 490.0, y = 100.0, rot = 0.0°
2023-05-28T18:47:40.898131900 - Human at: x = 480.0, y = 100.0, rot = 270.0°
2023-05-28T18:47:41.145978500 - Human at: x = 480.0, y = 90.0, rot = 270.0°
2023-05-28T18:47:41.364899400 - Human at: x = 480.0, y = 80.0, rot = 0.0°
2023-05-28T18:47:41.588354900 - Human at: x = 480.0, y = 70.0, rot = 0.0°
2023-05-28T18:47:41.800206700 - Human at: x = 480.0, y = 60.0, rot = 0.0°
2023-05-28T18:47:42.127615200 - Human at: x = 470.0, y = 60.0, rot = 0.0°
2023-05-28T18:47:42.345299500 - Human at: x = 460.0, y = 60.0, rot = 270.0°
2023-05-28T18:47:42.563506 - Human at: x = 450.0, y = 60.0, rot = 270.0°
2023-05-28T18:47:42.775978600 - Human at: x = 440.0, y = 60.0, rot = 270.0°
2023-05-28T18:47:43.084693200 - Human at: x = 440.0, y = 50.0, rot = 270.0°
2023-05-28T18:47:43.309133200 - Human at: x = 440.0, y = 40.0, rot = 0.0°
2023-05-28T18:48:22.027438 - Enemy at: x = 320.0, y = 80.0, rot = 0.0°
2023-05-28T18:48:22.028436700 - Human at: x = 500.0, y = 100.0, rot = 0.0°
2023-05-28T18:48:23.489640800 - Human at: x = 490.0, y = 100.0, rot = 0.0°
2023-05-28T18:48:23.816918100 - Human at: x = 480.0, y = 100.0, rot = 270.0°
2023-05-28T18:48:24.077266400 - Human at: x = 470.0, y = 100.0, rot = 270.0°
2023-05-28T18:48:24.362048800 - Human at: x = 470.0, y = 90.0, rot = 270.0°
2023-05-28T18:48:24.610989700 - Human at: x = 470.0, y = 80.0, rot = 0.0°
2023-05-28T18:48:24.853329400 - Human at: x = 470.0, y = 70.0, rot = 0.0°
2023-05-28T18:48:25.040660100 - Human at: x = 470.0, y = 60.0, rot = 0.0°
2023-05-28T18:48:40.286872100 - Enemy at: x = 320.0, y = 80.0, rot = 0.0°
2023-05-28T18:48:40.288863700 - Human at: x = 500.0, y = 100.0, rot = 0.0°
2023-05-28T18:48:43.565798300 - Human at: x = 500.0, y = 90.0, rot = 0.0°
2023-05-28T18:48:43.881395700 - Human at: x = 500.0, y = 80.0, rot = 0.0°
2023-05-28T18:48:44.190043100 - Human at: x = 490.0, y = 80.0, rot = 0.0°
2023-05-28T18:48:44.408620 - Human at: x = 480.0, y = 80.0, rot = 270.0°
2023-05-28T18:48:44.626324900 - Human at: x = 470.0, y = 80.0, rot = 270.0°
2023-05-28T18:48:44.839350 - Human at: x = 460.0, y = 80.0, rot = 270.0°
2023-05-28T18:48:45.062728600 - Human at: x = 450.0, y = 80.0, rot = 270.0°
2023-05-28T18:48:45.274816900 - Human at: x = 440.0, y = 80.0, rot = 270.0°
2023-05-28T18:48:45.493932100 - Human at: x = 430.0, y = 80.0, rot = 270.0°
2023-05-28T18:48:45.693557 - Human at: x = 420.0, y = 80.0, rot = 270.0°
2023-05-28T18:48:45.876365800 - Human at: x = 410.0, y = 80.0, rot = 270.0°
2023-05-28T18:48:46.074839300 - Human at: x = 400.0, y = 80.0, rot = 270.0°
2023-05-28T18:48:46.293051300 - Human at: x = 390.0, y = 80.0, rot = 270.0°
2023-05-28T18:48:46.493355900 - Human at: x = 380.0, y = 80.0, rot = 270.0°
2023-05-28T18:48:46.668925800 - Human at: x = 370.0, y = 80.0, rot = 270.0°
2023-05-28T18:48:46.862939200 - Human at: x = 360.0, y = 80.0, rot = 270.0°
2023-05-28T18:48:47.062799 - Human at: x = 350.0, y = 80.0, rot = 270.0°
2023-05-28T18:48:47.263054700 - Human at: x = 340.0, y = 80.0, rot = 270.0°
2023-05-28T18:48:47.450665500 - Human at: x = 330.0, y = 80.0, rot = 270.0°
2023-05-28T18:48:47.632947600 - Human at: x = 320.0, y = 80.0, rot = 270.0°
2023-05-28T18:48:47.826644400 - Human at: x = 310.0, y = 80.0, rot = 270.0°
2023-05-28T18:48:48.020701500 - Human at: x = 300.0, y = 80.0, rot = 270.0°
2023-05-28T18:48:48.214526400 - Human at: x = 290.0, y = 80.0, rot = 270.0°
2023-05-28T18:48:48.402209100 - Human at: x = 280.0, y = 80.0, rot = 270.0°
2023-05-28T18:48:48.590017700 - Human at: x = 270.0, y = 80.0, rot = 270.0°
2023-05-28T18:48:48.784706200 - Human at: x = 260.0, y = 80.0, rot = 270.0°
2023-05-28T18:48:48.966567 - Human at: x = 250.0, y = 80.0, rot = 270.0°
2023-05-28T18:48:49.166626100 - Human at: x = 240.0, y = 80.0, rot = 270.0°
2023-05-28T18:48:49.372181500 - Human at: x = 230.0, y = 80.0, rot = 270.0°
2023-05-28T18:48:49.565945500 - Human at: x = 220.0, y = 80.0, rot = 270.0°
2023-05-28T18:48:49.759762600 - Human at: x = 210.0, y = 80.0, rot = 270.0°
2023-05-28T18:48:49.960334200 - Human at: x = 200.0, y = 80.0, rot = 270.0°
2023-05-28T18:48:50.172681500 - Human at: x = 190.0, y = 80.0, rot = 270.0°
2023-05-28T18:48:50.366337700 - Human at: x = 180.0, y = 80.0, rot = 270.0°
2023-05-28T18:48:50.560577500 - Human at: x = 170.0, y = 80.0, rot = 270.0°
2023-05-28T18:48:50.748203600 - Human at: x = 160.0, y = 80.0, rot = 270.0°
2023-05-28T18:48:50.936096300 - Human at: x = 150.0, y = 80.0, rot = 270.0°
2023-05-28T18:48:51.148499100 - Human at: x = 140.0, y = 80.0, rot = 270.0°
2023-05-28T18:48:51.347719800 - Human at: x = 130.0, y = 80.0, rot = 270.0°
2023-05-28T18:48:51.541888500 - Human at: x = 120.0, y = 80.0, rot = 270.0°
2023-05-28T18:48:51.796706900 - Human at: x = 120.0, y = 90.0, rot = 270.0°
2023-05-28T18:48:52.002428300 - Human at: x = 120.0, y = 100.0, rot = 180.0°
2023-05-28T18:48:52.208685700 - Human at: x = 120.0, y = 110.0, rot = 180.0°
2023-05-28T18:48:52.434703600 - Human at: x = 120.0, y = 120.0, rot = 180.0°
2023-05-28T18:48:52.652002700 - Human at: x = 120.0, y = 130.0, rot = 180.0°
2023-05-28T18:48:52.881007200 - Human at: x = 120.0, y = 140.0, rot = 180.0°
2023-05-28T18:48:53.106122400 - Human at: x = 120.0, y = 150.0, rot = 180.0°
2023-05-28T18:48:53.335687400 - Human at: x = 120.0, y = 160.0, rot = 180.0°
2023-05-28T18:48:53.572587 - Human at: x = 120.0, y = 170.0, rot = 180.0°
2023-05-28T18:48:53.790357 - Human at: x = 120.0, y = 180.0, rot = 180.0°
2023-05-28T18:48:53.996768200 - Human at: x = 120.0, y = 190.0, rot = 180.0°
2023-05-28T18:48:54.220369300 - Human at: x = 120.0, y = 200.0, rot = 180.0°
2023-05-28T18:48:54.433019900 - Human at: x = 120.0, y = 210.0, rot = 180.0°
2023-05-28T18:48:54.657420300 - Human at: x = 120.0, y = 220.0, rot = 180.0°
2023-05-28T18:48:54.869199200 - Human at: x = 120.0, y = 230.0, rot = 180.0°
2023-05-28T18:48:55.075405700 - Human at: x = 120.0, y = 240.0, rot = 180.0°
2023-05-28T18:48:55.281601400 - Human at: x = 120.0, y = 250.0, rot = 180.0°
2023-05-28T18:48:55.520001600 - Human at: x = 120.0, y = 260.0, rot = 180.0°
2023-05-28T18:48:55.729092600 - Human at: x = 120.0, y = 270.0, rot = 180.0°
2023-05-28T18:48:55.959477 - Human at: x = 120.0, y = 280.0, rot = 180.0°
2023-05-28T18:48:56.177595800 - Human at: x = 120.0, y = 290.0, rot = 180.0°
2023-05-28T18:48:56.401560200 - Human at: x = 120.0, y = 300.0, rot = 180.0°
2023-05-28T18:48:56.583662500 - Human at: x = 120.0, y = 310.0, rot = 180.0°
2023-05-28T18:48:56.752720300 - Human at: x = 120.0, y = 320.0, rot = 180.0°
2023-05-28T18:48:56.916789100 - Human at: x = 120.0, y = 330.0, rot = 180.0°
2023-05-28T18:48:57.080352700 - Human at: x = 120.0, y = 340.0, rot = 180.0°
2023-05-28T18:48:57.231755500 - Human at: x = 120.0, y = 350.0, rot = 180.0°
2023-05-28T18:48:57.376548300 - Human at: x = 120.0, y = 360.0, rot = 180.0°
2023-05-28T18:48:57.510124800 - Human at: x = 120.0, y = 370.0, rot = 180.0°
2023-05-28T18:48:57.643290700 - Human at: x = 120.0, y = 380.0, rot = 180.0°
2023-05-28T18:48:57.776774 - Human at: x = 120.0, y = 390.0, rot = 180.0°
2023-05-28T18:48:57.891398500 - Human at: x = 120.0, y = 400.0, rot = 180.0°
2023-05-28T18:48:58.012351600 - Human at: x = 120.0, y = 410.0, rot = 180.0°
2023-05-28T18:48:58.134109400 - Human at: x = 120.0, y = 420.0, rot = 180.0°
2023-05-28T18:48:58.273272900 - Human at: x = 120.0, y = 430.0, rot = 180.0°
2023-05-28T18:48:58.400303500 - Human at: x = 120.0, y = 440.0, rot = 180.0°
2023-05-28T18:48:58.521696800 - Human at: x = 120.0, y = 450.0, rot = 180.0°
2023-05-28T18:48:58.660766600 - Human at: x = 120.0, y = 460.0, rot = 180.0°
2023-05-28T18:48:58.800400100 - Human at: x = 120.0, y = 470.0, rot = 180.0°
2023-05-28T18:48:58.964134700 - Human at: x = 130.0, y = 470.0, rot = 180.0°
2023-05-28T18:48:59.109954500 - Human at: x = 140.0, y = 470.0, rot = 90.0°
2023-05-28T18:48:59.261388 - Human at: x = 150.0, y = 470.0, rot = 90.0°
2023-05-28T18:48:59.412388700 - Human at: x = 160.0, y = 470.0, rot = 90.0°
2023-05-28T18:48:59.552340100 - Human at: x = 170.0, y = 470.0, rot = 90.0°
2023-05-28T18:48:59.709483500 - Human at: x = 180.0, y = 470.0, rot = 90.0°
2023-05-28T18:48:59.854874900 - Human at: x = 190.0, y = 470.0, rot = 90.0°
2023-05-28T18:49:00.000724 - Human at: x = 200.0, y = 470.0, rot = 90.0°
2023-05-28T18:49:00.145393400 - Human at: x = 210.0, y = 470.0, rot = 90.0°
2023-05-28T18:49:00.290291900 - Human at: x = 220.0, y = 470.0, rot = 90.0°
2023-05-28T18:49:00.436437 - Human at: x = 230.0, y = 470.0, rot = 90.0°
2023-05-28T18:49:00.587241400 - Human at: x = 240.0, y = 470.0, rot = 90.0°
2023-05-28T18:49:00.732407800 - Human at: x = 250.0, y = 470.0, rot = 90.0°
2023-05-28T18:49:00.872337900 - Human at: x = 260.0, y = 470.0, rot = 90.0°
2023-05-28T18:49:01.005059500 - Human at: x = 270.0, y = 470.0, rot = 90.0°
2023-05-28T18:49:01.151226900 - Human at: x = 280.0, y = 470.0, rot = 90.0°
2023-05-28T18:49:01.284294 - Human at: x = 290.0, y = 470.0, rot = 90.0°
2023-05-28T18:49:01.417380500 - Human at: x = 300.0, y = 470.0, rot = 90.0°
2023-05-28T18:49:01.563220600 - Human at: x = 310.0, y = 470.0, rot = 90.0°
2023-05-28T18:49:01.708411800 - Human at: x = 320.0, y = 470.0, rot = 90.0°
